"","Var.1","Var.2","Var.3","Playing Time","Playing Time","Playing Time","Performance","Performance","Performance","Performance","Performance","Performance","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Expected","Expected","Expected","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Var.26","Var.27","Playing Time","Playing Time","Playing Time","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Penalty Kicks","Penalty Kicks","Penalty Kicks","Penalty Kicks","Var.45","Var.46","Var.47","Goals","Goals","Goals","Goals","Goals","Expected","Expected","Expected","Expected","Launched","Launched","Launched","Passes","Passes","Passes","Passes","Goal Kicks","Goal Kicks","Goal Kicks","Crosses","Crosses","Crosses","Sweeper","Sweeper","Sweeper","Var.73","Var.74","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Expected","Expected","Expected","Expected","Expected","Var.91","Var.92","Total","Total","Total","Total","Total","Short","Short","Short","Medium","Medium","Medium","Long","Long","Long","Var.107","Var.108","Var.109","Var.110","Var.111","Var.112","Var.113","Var.114","Var.115","Var.116","Var.117","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Corner Kicks","Corner Kicks","Corner Kicks","Height","Height","Height","Body Parts","Body Parts","Body Parts","Body Parts","Body Parts","Outcomes","Outcomes","Outcomes","Outcomes","Outcomes","Var.142","Var.143","SCA","SCA","SCA Types","SCA Types","SCA Types","SCA Types","SCA Types","GCA","GCA","GCA Types","GCA Types","GCA Types","GCA Types","GCA Types","GCA Types","Var.159","Var.160","Tackles","Tackles","Tackles","Tackles","Tackles","Vs Dribbles","Vs Dribbles","Vs Dribbles","Vs Dribbles","Pressures","Pressures","Pressures","Pressures","Pressures","Pressures","Blocks","Blocks","Blocks","Blocks","Var.180","Var.181","Var.182","Var.183","Var.184","Var.185","Touches","Touches","Touches","Touches","Touches","Touches","Touches","Dribbles","Dribbles","Dribbles","Dribbles","Dribbles","Carries","Carries","Carries","Receiving","Receiving","Receiving","Var.204","Var.205","Var.206","Var.207","Playing Time","Playing Time","Playing Time","Playing Time","Starts","Starts","Subs","Subs","Subs","Team Success","Team Success","Team Success","Team Success","Team Success","Team Success (xG)","Team Success (xG)","Team Success (xG)","Team Success (xG)","Var.226","Var.227","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Aerial Duels","Aerial Duels","Aerial Duels","League"
"72","Fiorentina","27","50.3","38","418","3,420","45","24","5","6","89","5","1.18","0.63","1.82","1.05","1.68","51.7","47.1","33.0","1.36","0.87","2.23","1.24","2.11","Fiorentina","3","38","38","3,420","45","1.18","136","98",".706","8","17","13","9","23.7","6","5","1","0","Fiorentina","3","38.0","45","5","1","6","3","40.6","0.26","-1.4","-0.04","204","565","36.1","884","185","45.0","39.9","296","56.4","47.1","390","29","7.4","34","0.89","15.1","Fiorentina","27","45","5","6","577","175","16","30.3","15.18","4.61","0.07","0.23","51.7","47.1","0.08","-6.7","-7.1","Fiorentina","27","13356","17251","77.4","273975","93697","154","484","31.8","9632","11306","85.2","3570","5461","65.4","24","33.0","-9.0","425","1092","312","89","1709","Fiorentina","27","17251","15342","1909","545","40","2440","531","787","233","25","30","10","11233","2202","3816","4950","10124","839","753","250","13356","40","411","280","420","Fiorentina","27","869","22.87","653","77","54","45","38","68","1.79","40","2","13","4","7","2","Fiorentina","27","621","404","295","262","64","213","574","37.1","361","5521","1467","26.6","1800","2550","1171","594","136","3","458","418","901","8","Fiorentina","27","50.3","21846","2284","6842","10875","5638","937","19990","364","641","56.8","403","29","14354","88134","49938","15839","13356","84.3","454","483","Fiorentina","27","38","3,420","90","100","418","84","109","22","316","1.08","47","45","+2","+0.05","51.7","40.4","+11.3","+0.30","Fiorentina","27","89","5","2","564","514","48","787","418","404","5","4","3","3649","476","504","48.6","Serie-A"
"82","Frosinone","33","41.4","38","418","3,420","28","21","4","5","99","2","0.74","0.55","1.29","0.63","1.18","34.5","30.7","23.6","0.91","0.62","1.53","0.81","1.43","Frosinone","2","38","38","3,420","69","1.82","209","146",".694","5","10","23","9","23.7","5","5","0","0","Frosinone","2","38.0","69","5","3","10","1","62.4","0.29","-5.6","-0.15","201","620","32.4","950","244","40.9","38.3","353","65.4","51.0","428","37","8.6","11","0.29","12.1","Frosinone","33","28","4","5","436","120","24","27.5","11.47","3.16","0.06","0.20","34.5","30.7","0.07","-6.5","-6.7","Frosinone","33","11524","15516","74.3","231244","86911","177","560","31.6","8461","9945","85.1","2886","5011","57.6","21","23.6","-2.6","310","788","249","124","1382","Frosinone","33","15516","13578","1938","577","17","2388","505","819","160","33","20","4","9124","2170","4222","4838","8541","714","742","333","11524","67","314","239","475","Frosinone","33","653","17.18","473","75","31","30","43","48","1.26","30","5","3","5","4","1","Frosinone","33","596","385","336","197","63","206","603","34.2","397","6617","1627","24.6","2639","2747","1231","563","155","0","408","398","961","6","Frosinone","33","41.4","19687","2533","7431","9048","4403","596","17820","276","510","54.1","305","23","12328","71139","39199","14229","11525","81.0","384","347","Frosinone","33","38","3,420","90","100","418","85","110","19","339","0.66","29","69","-40","-1.05","34.5","61.1","-26.6","-0.70","Frosinone","33","99","2","0","567","544","77","819","398","385","5","5","1","3239","479","596","44.6","Serie-A"
"92","Genoa","31","43.2","38","418","3,420","37","26","4","5","94","7","0.97","0.68","1.66","0.87","1.55","44.2","40.4","27.7","1.16","0.73","1.89","1.06","1.79","Genoa","3","38","38","3,420","58","1.53","163","112",".675","8","14","16","7","18.4","6","5","1","0","Genoa","3","38.0","58","5","0","11","2","54.2","0.31","-0.8","-0.02","275","807","34.1","763","114","66.4","51.4","339","88.5","65.0","385","23","6.0","17","0.45","13.4","Genoa","31","37","4","5","526","150","23","28.5","13.84","3.95","0.06","0.22","44.2","40.4","0.08","-7.2","-7.4","Genoa","31","11178","15296","73.1","228852","87714","151","491","30.8","8146","9708","83.9","2881","5097","56.5","26","27.7","-1.7","365","986","330","96","1536","Genoa","31","15296","13370","1926","534","26","2735","467","800","186","17","35","11","8882","2147","4267","4114","8915","798","774","190","11178","59","317","264","424","Genoa","31","768","20.21","532","91","44","48","51","52","1.37","34","6","3","4","3","2","Genoa","31","740","470","374","277","89","285","686","41.5","401","6258","1638","26.2","2100","2787","1371","541","126","3","415","435","965","7","Genoa","31","43.2","19706","2176","6137","9100","5797","877","17817","363","577","62.9","392","22","12252","74593","41475","13999","11178","79.8","386","386","Genoa","31","38","3,420","90","100","418","83","112","22","327","1.00","39","57","-18","-0.47","44.2","52.6","-8.4","-0.22","Genoa","31","94","7","2","563","483","67","800","435","470","4","4","2","3549","597","620","49.1","Serie-A"
"102","Inter","23","59.4","38","418","3,420","57","36","8","9","73","3","1.50","0.95","2.45","1.29","2.24","63.2","56.3","43.8","1.66","1.15","2.81","1.48","2.63","Inter","1","38","38","3,420","35","0.92","128","101",".750","20","9","9","17","44.7","5","3","0","2","Inter","1","38.0","35","3","1","3","3","36.6","0.27","+6.6","+0.17","172","360","47.8","895","201","27.6","30.1","256","44.1","39.1","337","16","4.7","13","0.34","12.6","Inter","23","57","8","9","619","185","9","29.9","16.29","4.87","0.08","0.26","63.2","56.3","0.09","-7.2","-8.3","Inter","23","19559","23407","83.6","377028","119426","234","628","37.3","14793","16510","89.6","4532","6269","72.3","36","43.8","-7.8","471","1487","451","160","2006","Inter","23","23407","21452","1955","533","37","3408","709","1084","303","37","35","12","16674","2733","4000","6222","15029","779","793","307","19559","49","346","321","482","Inter","23","960","25.26","767","77","36","47","33","88","2.32","65","3","6","8","6","0","Inter","23","640","401","284","254","102","232","664","34.9","432","5944","1641","27.6","1576","2624","1744","519","121","1","398","314","635","6","Inter","23","59.4","27415","2274","7583","13803","7786","1119","25559","351","551","63.7","366","15","19515","109282","59887","22087","19544","88.5","431","380","Inter","23","38","3,420","90","100","418","85","114","19","251","1.82","57","33","+24","+0.63","63.2","38.3","+24.9","+0.66","Inter","23","73","3","2","472","499","67","1084","314","401","5","3","2","3402","418","445","48.4","Serie-A"
"112","Juventus","31","55.9","38","418","3,420","66","44","7","8","76","4","1.74","1.16","2.89","1.55","2.71","57.5","51.4","35.9","1.51","0.95","2.46","1.35","2.30","Juventus","3","38","38","3,420","30","0.79","107","79",".738","28","6","4","16","42.1","4","2","1","1","Juventus","3","38.0","30","2","1","4","1","31.8","0.27","+2.8","+0.07","201","392","51.3","713","165","36.6","35.7","279","47.0","42.5","305","24","7.9","23","0.61","14.3","Juventus","31","66","7","8","599","193","28","32.2","15.76","5.08","0.10","0.31","57.5","51.4","0.09","+8.5","+7.6","Juventus","31","18393","21842","84.2","371028","109670","171","539","31.7","13466","14887","90.5","4756","6416","74.1","44","35.9","+8.1","453","1427","397","125","1744","Juventus","31","21842","20114","1728","481","48","3074","887","869","239","18","18","9","15403","2646","3793","7511","12329","740","662","284","18393","64","318","349","404","Juventus","31","953","25.08","713","80","47","57","53","99","2.61","65","5","2","16","8","3","Juventus","31","583","383","270","227","86","213","577","36.9","364","5679","1494","26.3","1683","2559","1437","534","140","3","394","413","655","11","Juventus","31","55.9","25889","2153","7122","13090","7438","1045","24208","444","774","57.4","475","20","18767","106888","58934","20956","18393","87.8","414","350","Juventus","31","38","3,420","90","100","418","85","102","19","251","2.37","70","30","+40","+1.05","57.5","36.4","+21.1","+0.56","Juventus","31","76","4","2","473","476","76","869","413","383","5","4","1","3223","446","382","53.9","Serie-A"
"122","Lazio","30","50.9","38","418","3,420","54","35","6","6","89","4","1.42","0.92","2.34","1.26","2.18","55.9","51.4","38.3","1.47","1.01","2.48","1.35","2.36","Lazio","3","38","38","3,420","46","1.21","147","107",".721","17","8","13","10","26.3","7","5","2","0","Lazio","3","38.0","46","5","2","6","1","44.1","0.27","-0.9","-0.02","231","551","41.9","915","176","44.8","38.4","265","53.2","45.4","355","22","6.2","21","0.55","15.0","Lazio","30","54","6","6","612","189","22","30.9","16.11","4.97","0.08","0.25","55.9","51.4","0.09","-1.9","-3.4","Lazio","30","15879","19761","80.4","301275","105137","269","667","40.3","12070","13807","87.4","3540","5287","67.0","35","38.3","-3.3","465","1305","415","90","1924","Lazio","30","19761","18052","1709","423","40","3332","548","747","226","22","29","10","13624","2329","3808","4828","12717","856","714","282","15879","88","314","362","417","Lazio","30","973","25.61","758","75","52","51","35","86","2.26","60","5","6","9","4","2","Lazio","30","671","434","308","273","90","238","693","34.3","455","5778","1619","28.0","1899","2642","1237","615","154","0","461","431","734","10","Lazio","30","50.9","24008","2250","7089","11424","7168","1103","22343","386","694","55.6","430","18","16380","100487","57987","18599","15879","85.4","385","379","Lazio","30","38","3,420","90","100","418","84","113","23","328","1.55","56","46","+10","+0.26","55.9","43.2","+12.7","+0.33","Lazio","30","89","4","1","509","402","99","747","431","434","3","6","1","3570","501","436","53.5","Serie-A"
"132","Milan","23","54.0","38","418","3,420","52","35","3","4","80","5","1.37","0.92","2.29","1.29","2.21","47.6","44.5","34.0","1.25","0.90","2.15","1.17","2.07","Milan","2","38","38","3,420","37","0.97","133","102",".752","19","11","8","12","31.6","5","4","1","0","Milan","2","38.0","37","4","1","5","1","38.4","0.26","+3.4","+0.09","219","424","51.7","960","213","28.8","30.7","316","46.8","40.1","400","35","8.8","16","0.42","13.8","Milan","23","52","3","4","580","190","20","32.8","15.26","5.00","0.08","0.26","47.6","44.5","0.08","+4.4","+4.5","Milan","23","17532","20973","83.6","341010","110685","185","541","34.2","13363","14795","90.3","3984","5637","70.7","35","34.0","+1.0","445","1318","383","103","1813","Milan","23","20973","19076","1897","522","70","3225","649","762","230","40","14","4","15199","2297","3477","7140","11943","581","757","289","17532","54","294","344","424","Milan","23","958","25.21","749","60","70","37","38","88","2.32","63","3","6","7","5","4","Milan","23","684","453","359","238","87","252","708","35.6","456","6489","1714","26.4","2201","2873","1415","585","124","2","461","381","842","14","Milan","23","54.0","25373","2621","8289","12355","6454","931","23567","425","690","61.6","462","27","18104","101030","55654","20070","17532","87.4","452","421","Milan","23","38","3,420","90","100","418","85","104","19","334","1.79","55","36","+19","+0.50","47.6","39.6","+8.0","+0.21","Milan","23","80","5","2","458","484","64","762","381","453","2","5","1","3090","389","404","49.1","Serie-A"
"142","Napoli","26","59.1","38","418","3,420","73","54","3","4","72","5","1.92","1.42","3.34","1.84","3.26","67.5","64.7","53.3","1.78","1.40","3.18","1.70","3.11","Napoli","3","38","38","3,417","36","0.95","135","103",".763","24","7","7","14","36.8","4","4","0","0","Napoli","3","38.0","36","4","1","4","0","40.0","0.27","+4.0","+0.11","130","384","33.9","774","149","32.0","33.0","271","50.2","43.6","316","26","8.2","11","0.29","13.6","Napoli","26","73","3","4","702","234","22","33.3","18.47","6.16","0.10","0.30","67.5","64.7","0.09","+5.5","+5.3","Napoli","26","21121","24768","85.3","395686","119057","255","625","40.8","16333","17975","90.9","4533","6168","73.5","54","53.3","+0.7","554","1773","442","91","2077","Napoli","26","24768","22988","1780","465","84","3376","755","779","255","35","26","7","17957","3044","3767","7546","15360","654","720","252","21121","72","321","351","479","Napoli","26","1145","30.13","951","54","58","52","29","123","3.24","90","5","10","13","4","1","Napoli","26","657","446","280","266","111","253","690","36.7","437","6255","1634","26.1","1639","2807","1809","522","114","3","408","359","554","4","Napoli","26","59.1","28652","2114","7296","14815","8430","1068","26920","418","707","59.1","457","25","21516","113047","65287","23865","21121","88.5","380","351","Napoli","26","38","3,420","90","100","418","84","113","22","261","2.08","74","36","+38","+1.00","67.5","34.7","+32.8","+0.86","Napoli","26","72","5","3","415","423","89","779","359","446","0","4","0","3278","334","365","47.8","Serie-A"
"152","Parma","31","37.7","38","418","3,420","40","22","4","5","82","3","1.05","0.58","1.63","0.95","1.53","37.8","34.0","22.2","0.99","0.58","1.58","0.89","1.48","Parma","2","38","38","3,420","62","1.63","200","151",".730","10","11","17","10","26.3","8","8","0","0","Parma","2","38.0","62","8","1","9","4","58.8","0.26","+1.8","+0.05","351","800","43.9","774","135","54.4","44.5","466","81.3","55.7","582","39","6.7","10","0.26","11.1","Parma","31","40","4","5","353","107","18","30.3","9.29","2.82","0.10","0.34","37.8","34.0","0.10","+2.2","+2.0","Parma","31","9996","13626","73.4","211889","84907","137","494","27.7","6987","8369","83.5","2872","4763","60.3","22","22.2","-0.2","235","775","178","44","1227","Parma","31","13626","11751","1875","450","26","2389","426","520","144","23","18","4","7828","2098","3700","4867","6753","707","716","216","9996","83","327","268","415","Parma","31","504","13.26","329","55","54","32","33","58","1.53","26","5","11","7","8","1","Parma","31","581","366","334","196","51","195","626","31.2","431","6728","1538","22.9","2930","2687","1111","686","189","4","497","411","1132","9","Parma","31","37.7","18145","2944","7395","8039","3864","585","16290","364","656","55.5","396","26","10805","67533","36587","12572","9996","79.5","411","402","Parma","31","38","3,420","90","100","418","85","113","18","306","1.08","41","61","-20","-0.53","37.8","63.7","-25.9","-0.68","Parma","31","82","3","2","505","440","94","520","411","366","5","8","4","2944","457","511","47.2","Serie-A"
"162","Roma","26","51.4","38","418","3,420","66","41","6","6","88","2","1.74","1.08","2.82","1.58","2.66","63.5","59.0","42.6","1.67","1.12","2.79","1.55","2.67","Roma","2","38","38","3,420","49","1.29","160","115",".719","18","12","8","10","26.3","7","4","1","2","Roma","2","38.0","49","4","0","9","1","49.5","0.29","+2.5","+0.07","247","548","45.1","870","195","40.8","37.1","300","64.3","50.8","368","18","4.9","16","0.42","12.8","Roma","26","66","6","6","624","212","11","34.0","16.42","5.58","0.10","0.28","63.5","59.0","0.10","+2.5","+1.0","Roma","26","15367","19067","80.6","304684","112087","173","540","32.0","11405","12981","87.9","3789","5546","68.3","41","42.6","-1.6","467","1251","384","119","1983","Roma","26","19067","17191","1876","493","49","3239","574","860","224","23","35","3","12635","2764","3668","5319","11467","801","775","283","15367","42","347","318","432","Roma","26","964","25.37","692","103","69","57","43","102","2.68","71","5","11","5","10","0","Roma","26","543","351","239","221","83","220","646","34.1","426","5885","1482","25.2","1857","2701","1327","571","168","0","403","416","839","10","Roma","26","51.4","23350","2391","7026","11302","6521","1087","21527","470","786","59.8","499","21","15866","91772","49635","18068","15367","85.1","441","378","Roma","26","38","3,420","90","100","418","84","111","22","287","1.74","66","48","+18","+0.47","63.5","53.4","+10.1","+0.27","Roma","26","88","2","2","466","397","51","860","416","351","5","7","1","3382","591","417","58.6","Serie-A"
"172","Sampdoria","24","55.1","38","418","3,420","60","41","10","12","89","3","1.58","1.08","2.66","1.32","2.39","49.0","40.0","31.5","1.29","0.83","2.12","1.05","1.88","Sampdoria","2","38","38","3,420","52","1.37","144","100",".688","15","8","15","13","34.2","8","7","1","0","Sampdoria","2","38.0","52","7","2","6","1","49.8","0.30","-0.2","0.00","157","458","34.3","912","194","32.7","32.1","310","51.6","42.1","402","34","8.5","25","0.66","14.9","Sampdoria","24","60","10","12","479","168","18","35.1","12.61","4.42","0.10","0.30","49.0","40.0","0.09","+11.0","+10.0","Sampdoria","24","17188","21150","81.3","311279","105050","278","721","38.6","13637","15414","88.5","3273","5015","65.3","41","31.5","+9.5","329","1266","359","91","1828","Sampdoria","24","21150","19273","1877","616","43","3162","556","640","167","31","13","5","15031","2708","3411","6606","12434","806","695","316","17188","66","321","422","515","Sampdoria","24","703","18.50","551","47","32","32","41","99","2.61","75","3","7","6","8","0","Sampdoria","24","668","411","310","258","100","245","648","37.8","403","6143","1572","25.6","1706","2757","1680","620","128","0","492","370","770","11","Sampdoria","24","55.1","25381","2672","7652","12710","6590","834","23577","380","614","61.9","400","24","17606","88035","49190","20108","17188","85.5","404","467","Sampdoria","24","38","3,420","90","100","418","84","112","21","314","1.39","60","51","+9","+0.24","49.0","52.5","-3.6","-0.09","Sampdoria","24","89","3","3","497","514","74","640","370","411","7","7","1","3578","379","401","48.6","Serie-A"
"182","Sassuolo","29","53.8","38","418","3,420","50","33","5","5","87","8","1.32","0.87","2.18","1.18","2.05","45.9","42.2","30.4","1.21","0.80","2.01","1.11","1.91","Sassuolo","2","38","38","3,415","61","1.61","156","102",".635","9","16","13","12","31.6","8","4","3","1","Sassuolo","2","37.9","61","4","0","13","2","54.2","0.32","-3.8","-0.10","244","569","42.9","934","170","43.4","36.8","311","52.7","41.6","382","24","6.3","18","0.47","13.8","Sassuolo","29","50","5","5","507","150","20","29.6","13.34","3.95","0.09","0.30","45.9","42.2","0.08","+4.1","+2.8","Sassuolo","29","16500","20036","82.4","311173","101495","228","616","37.0","12700","14224","89.3","3572","5196","68.7","33","30.4","+2.6","357","1171","278","67","1585","Sassuolo","29","20036","18102","1934","617","34","2812","493","669","186","19","31","11","14320","2375","3341","7050","11159","556","723","255","16500","65","333","318","480","Sassuolo","29","768","20.21","592","51","45","40","37","87","2.29","54","6","5","12","7","3","Sassuolo","29","577","378","310","198","69","184","527","34.9","343","5512","1437","26.1","1939","2312","1261","522","121","6","401","390","808","12","Sassuolo","29","53.8","24278","2463","7982","11994","5911","778","22405","460","755","60.9","494","32","17150","97762","55300","18999","16500","86.8","470","411","Sassuolo","29","38","3,420","90","100","418","84","113","20","333","1.13","53","60","-7","-0.18","45.9","57.4","-11.5","-0.30","Sassuolo","29","87","8","3","535","534","76","669","390","378","4","7","2","3196","378","422","47.3","Serie-A"
"192","SPAL","28","50.5","38","418","3,420","44","30","7","8","112","3","1.16","0.79","1.95","0.97","1.76","41.3","35.3","22.9","1.09","0.60","1.69","0.93","1.53","SPAL","4","38","38","3,417","56","1.47","174","122",".707","11","9","18","10","26.3","5","5","0","0","SPAL","4","38.0","56","5","0","11","0","51.1","0.28","-4.9","-0.13","255","637","40.0","1022","178","43.4","38.7","330","58.5","46.7","325","19","5.8","15","0.40","13.5","SPAL","28","44","7","8","457","128","14","28.0","12.03","3.37","0.08","0.29","41.3","35.3","0.08","+2.7","+1.7","SPAL","28","14319","17861","80.2","268758","96181","171","548","31.2","11129","12545","88.7","3019","4768","63.3","30","22.9","+7.1","334","926","255","119","1395","SPAL","28","17861","15894","1967","643","16","2999","436","869","194","24","21","5","11966","2322","3573","5051","10766","732","705","258","14319","32","347","266","456","SPAL","28","695","18.29","517","74","31","27","46","74","1.95","47","11","2","5","9","0","SPAL","28","613","389","335","212","66","244","619","39.4","375","5607","1381","24.6","2135","2418","1054","607","157","2","450","396","859","10","SPAL","28","50.5","22155","2657","7880","10440","5490","723","20254","351","570","61.6","375","15","14766","94096","53344","16544","14319","86.6","471","427","SPAL","28","38","3,420","90","100","418","85","113","18","332","1.11","44","56","-12","-0.32","41.3","49.1","-7.8","-0.20","SPAL","28","112","3","1","512","561","41","869","396","389","7","5","0","3019","469","461","50.4","Serie-A"
"201","Torino","25","51.1","38","418","3,420","50","31","5","6","88","4","1.32","0.82","2.13","1.18","2.00","48.2","43.7","33.0","1.27","0.87","2.14","1.15","2.02","Torino","2","38","38","3,420","38","1.00","144","110",".757","16","15","7","15","39.5","5","3","2","0","Torino","2","38.0","38","3","0","5","0","45.7","0.30","+8.7","+0.23","337","749","45.0","887","130","54.9","42.7","319","82.1","54.4","345","30","8.7","24","0.63","15.0","Torino","25","50","5","6","519","173","23","33.3","13.66","4.55","0.09","0.26","48.2","43.7","0.09","+1.8","+1.3","Torino","25","12929","17023","76.0","264002","94180","268","665","40.3","9241","10923","84.6","3420","5435","62.9","31","33.0","-2.0","374","942","328","123","1569","Torino","25","17023","15055","1968","607","20","2588","625","753","174","17","17","1","10149","2364","4510","4104","10306","991","791","231","12929","66","406","234","458","Torino","25","791","20.82","564","77","54","46","48","70","1.84","45","7","5","5","6","2","Torino","25","683","469","308","283","92","206","589","35.0","383","5915","1733","29.3","1914","2744","1257","689","130","2","559","446","850","6","Torino","25","51.1","21765","2205","6804","10381","6018","906","19863","437","723","60.4","456","20","13838","87044","47994","15611","12929","82.8","472","496","Torino","25","38","3,420","90","100","418","85","112","19","273","1.66","52","37","+15","+0.39","48.2","47.4","+0.8","+0.02","Torino","25","88","4","1","623","577","77","753","446","469","4","5","0","3719","686","620","52.5","Serie-A"
"211","Udinese","32","42.5","38","418","3,420","38","30","3","8","90","4","1.00","0.79","1.79","0.92","1.71","40.8","34.5","26.5","1.07","0.70","1.77","0.91","1.60","Udinese","2","38","38","3,420","54","1.42","169","125",".734","11","10","17","9","23.7","9","9","0","0","Udinese","2","38.0","54","9","0","7","1","55.2","0.30","+3.2","+0.08","322","751","42.9","729","131","57.9","42.8","405","81.2","55.3","443","31","7.0","17","0.45","12.6","Udinese","32","38","3","8","461","118","12","25.6","12.13","3.11","0.08","0.30","40.8","34.5","0.08","-2.8","+0.5","Udinese","32","11202","14780","75.8","227608","83549","168","515","32.6","8181","9625","85.0","2853","4640","61.5","30","26.5","+3.5","337","770","237","76","1315","Udinese","32","14780","12913","1867","496","24","2428","519","588","162","14","34","3","9080","2131","3569","3748","9005","664","714","226","11202","49","316","242","409","Udinese","32","708","18.63","523","58","57","31","38","68","1.79","44","7","3","6","7","1","Udinese","32","691","427","378","243","70","267","681","39.2","414","6205","1460","23.5","2345","2828","1032","675","165","3","510","391","1000","7","Udinese","32","42.5","19338","2388","6863","9244","4491","683","17535","393","629","62.5","415","9","12100","76175","42737","13648","11248","82.4","444","435","Udinese","32","38","3,420","90","100","418","85","104","18","297","1.13","39","53","-14","-0.37","40.8","57.4","-16.6","-0.44","Udinese","32","90","4","2","515","478","69","588","391","427","7","9","1","3012","529","529","50.0","Serie-A"
"24","Alavés","26","42.7","38","418","3,420","39","27","2","3","101","1","1.03","0.71","1.74","0.97","1.68","37.7","35.5","23.9","0.99","0.63","1.62","0.93","1.56","Alavés","2","38","38","3,420","50","1.32","159","115",".723","13","11","14","8","21.1","6","6","0","0","Alavés","2","38.0","50","6","3","2","2","48.7","0.28","+0.7","+0.02","349","847","41.2","823","98","68.7","48.1","320","88.1","59.3","407","31","7.6","31","0.82","14.8","Alavés","26","39","2","3","419","118","15","28.2","11.03","3.11","0.09","0.31","37.7","35.5","0.09","+1.3","+1.5","Alavés","26","9814","13919","70.5","203510","87703","183","531","34.5","6978","8568","81.4","2653","4820","55.0","27","23.9","+3.1","272","831","226","104","1379","Alavés","26","13919","11967","1952","585","13","2116","433","729","145","27","25","5","7233","2154","4532","4582","6759","1034","805","182","9814","48","388","253","417","Alavés","26","575","15.13","375","77","40","36","47","58","1.53","36","7","3","7","5","0","Alavés","26","636","365","329","234","73","226","659","34.3","433","5867","1386","23.6","1963","2755","1149","606","116","2","490","390","1148","8","Alavés","26","42.7","18585","2331","6410","8846","4315","672","16669","321","574","55.9","343","15","10284","59399","32941","12658","9814","77.5","512","347","Alavés","26","38","3,420","90","100","418","85","113","17","153","1.32","39","50","-11","-0.29","37.7","49.6","-11.9","-0.31","Alavés","26","101","1","0","551","499","58","729","390","365","2","6","2","3512","702","721","49.3","La-Liga"
"33","Athletic Club","27","50.1","38","418","3,420","38","26","5","7","118","4","1.00","0.68","1.68","0.87","1.55","39.3","33.9","24.4","1.03","0.64","1.68","0.89","1.53","Athletic Club","2","38","38","3,420","45","1.18","116","76",".655","13","14","11","10","26.3","5","5","0","0","Athletic Club","2","38.0","45","5","0","6","0","40.1","0.31","-4.9","-0.13","394","875","45.0","909","116","69.3","50.7","264","92.8","68.5","359","29","8.1","28","0.74","15.6","Athletic Club","27","38","5","7","368","133","6","36.1","9.68","3.50","0.09","0.25","39.3","33.9","0.10","-1.3","-0.9","Athletic Club","27","13267","17393","76.3","271102","100295","164","538","30.5","9741","11461","85.0","3362","5394","62.3","26","24.4","+1.6","273","1100","302","95","1578","Athletic Club","27","17393","15493","1900","567","29","2768","554","727","154","10","19","4","10169","2748","4476","3922","10806","1071","833","208","13267","68","406","287","452","Athletic Club","27","569","14.97","402","63","35","33","32","66","1.74","42","4","3","7","6","4","Athletic Club","27","644","423","314","239","91","213","730","29.2","517","5861","1531","26.1","1720","2781","1360","576","96","1","480","451","986","8","Athletic Club","27","50.1","21741","2093","6468","10878","5660","776","19893","337","601","56.1","363","17","13600","75016","40685","16241","13267","81.7","481","387","Athletic Club","27","38","3,420","90","100","418","85","113","19","153","1.39","41","45","-4","-0.11","39.3","42.8","-3.5","-0.09","Athletic Club","27","118","4","2","580","492","74","727","451","423","6","4","0","3537","729","574","55.9","La-Liga"
"43","Atlético Madrid","29","49.4","38","418","3,420","52","36","3","4","100","5","1.37","0.95","2.32","1.29","2.24","44.3","41.2","30.0","1.17","0.79","1.96","1.09","1.87","Atlético Madrid","2","38","38","3,420","29","0.76","130","108",".815","22","10","6","20","52.6","5","5","0","0","Atlético Madrid","2","38.0","29","5","0","3","2","39.4","0.28","+12.4","+0.33","233","613","38.0","582","103","61.2","46.4","292","88.0","62.1","365","36","9.9","12","0.32","14.1","Atlético Madrid","29","52","3","4","439","160","21","36.4","11.55","4.21","0.11","0.31","44.3","41.2","0.10","+7.7","+7.8","Atlético Madrid","29","15143","19034","79.6","276009","98528","259","629","41.2","11858","13546","87.5","3026","4859","62.3","36","30.0","+6.0","339","1245","342","61","1661","Atlético Madrid","29","19034","17293","1741","453","58","3353","443","590","215","16","24","11","12563","2625","3846","6140","10580","931","716","208","15143","69","283","370","463","Atlético Madrid","29","704","18.53","514","67","41","32","47","87","2.29","59","3","6","11","5","3","Atlético Madrid","29","784","523","416","297","71","258","743","34.7","485","6995","1814","25.9","2216","3295","1484","582","104","1","478","463","830","10","Atlético Madrid","29","49.4","23298","2044","6545","11445","6717","901","21611","460","693","66.4","481","14","15815","85066","44575","18114","15143","83.6","428","396","Atlético Madrid","29","38","3,420","90","100","418","83","105","26","160","2.00","55","29","+26","+0.68","44.3","37.8","+6.6","+0.17","Atlético Madrid","29","100","5","3","476","453","80","590","463","523","2","4","2","3341","539","451","54.4","La-Liga"
