"Date","Day","Comp","Round","Venue","Result","Squad","Opponent","Start","Pos","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Press","Tkl","Int","Blocks","xG","npxG","xA","SCA","GCA","PassesCmp","PassesAtt","PassesCmp%","PassesPrgDist","Carries","CarriesPrgDist","DribblesSucc","DribblesAtt","Match Report","2017-2018"
"2019-12-14","Sat","Premier League","Matchweek 17","Home","L 0–1","Chelsea","Bournemouth","Y","LW","64","0","0","0","0","2","0","0","0","28","18","3","0","0","0.3","0.3","0.0","2","0","15","19","78.9","16","18","141","0","1","Match Report","2019-2020"
"2019-12-22","Sun","Premier League","Matchweek 18","Away","W 2–0","Chelsea","Tottenham","N","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","Match Report","2019-2020"
"2019-12-26","Thu","Premier League","Matchweek 19","Home","L 0–2","Chelsea","Southampton","N","LW","24","0","0","0","0","1","1","0","0","17","4","1","0","0","0.1","0.1","0.0","1","0","9","12","75.0","41","15","127","0","2","Match Report","2019-2020"
"2020-01-01","Wed","Premier League","Matchweek 21","Away","D 1–1","Chelsea","Brighton","Y","LW","65","0","0","0","0","5","2","0","0","43","23","2","1","2","0.2","0.2","0.0","1","0","18","22","81.8","80","29","186","1","2","Match Report","2019-2020"
"2020-06-21","Sun","Premier League","Matchweek 30","Away","W 2–1","Chelsea","Aston Villa","N","LW,RW","36","1","0","0","0","3","1","0","0","26","12","2","0","1","0.5","0.5","0.1","1","0","11","16","68.8","80","18","66","1","1","Match Report","2019-2020"
"2020-06-25","Thu","Premier League","Matchweek 31","Home","W 2–1","Chelsea","Manchester City","Y","LW","89","1","0","0","0","3","2","0","0","34","11","0","0","1","1.1","1.1","0.0","4","1","17","24","70.8","65","27","230","4","5","Match Report","2019-2020"
"2020-06-28","Sun","FA Cup","Quarter-finals","Away","W 1–0","Chelsea","Leicester City","Y","FW","71","0","0","0","0","2","1","0","0","","","","0","","","","","","","","","","","","","","","Match Report","2019-2020"
"2020-07-01","Wed","Premier League","Matchweek 32","Away","L 2–3","Chelsea","West Ham","Y","LW","90","0","0","0","0","4","0","0","0","52","6","1","0","2","0.3","0.3","0.0","4","2","26","33","78.8","45","36","245","2","6","Match Report","2019-2020"
"2020-07-04","Sat","Premier League","Matchweek 33","Home","W 3–0","Chelsea","Watford","Y","LW","90","0","0","0","0","3","1","0","0","55","8","2","0","0","0.3","0.3","0.3","6","2","34","37","91.9","127","45","294","1","4","Match Report","2019-2020"
"2020-07-07","Tue","Premier League","Matchweek 34","Away","W 3–2","Chelsea","Crystal Palace","Y","LW","90","1","0","0","0","1","1","0","0","47","23","3","0","0","0.1","0.1","0.3","5","0","24","29","82.8","77","38","332","4","9","Match Report","2019-2020"
"2020-07-11","Sat","Premier League","Matchweek 35","Away","L 0–3","Chelsea","Sheffield Utd","Y","LW,CM","65","0","0","0","0","2","0","0","0","48","10","0","1","3","0.1","0.1","0.0","2","0","24","33","72.7","60","41","196","1","5","Match Report","2019-2020"
"2020-07-14","Tue","Premier League","Matchweek 36","Home","W 1–0","Chelsea","Norwich City","Y","LW","80","0","1","0","0","3","2","0","0","56","25","0","1","1","0.3","0.3","0.4","4","1","31","36","86.1","72","45","113","0","2","Match Report","2019-2020"
"2020-07-19","Sun","FA Cup","Semi-finals","Away","W 3–1","Chelsea","Manchester Utd","N","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","Match Report","2019-2020"
