"First","Last","Player","Season","Team","Games","Minutes","Pos","NumChains/96","TeamChain%","ChainShot%","PlayerShot%","PlayerKP%","xB/96","xGChain/96","xB%","xB% (0)","Comp ($K)"
"Osvaldo","Alonso","Osvaldo Alonso",2018,"SEA",25,1943,"CDM",36.6114256304683,0.256382532426249,0.197031039136302,0.0175438596491228,0.0175438596491228,0.779195532801082,0.849096165119005,0.917676424426996,0.966597409632644,1141.66704
"Mikey","Ambrose","Mikey Ambrose",2018,"ATL",9,778,"FB/WB",30.107969151671,0.203891438950368,0.209016393442623,0.0245901639344262,0.0327868852459016,0.7763829108035,0.841594107592109,0.922514670432775,0.90853930440539,68.90625
"Alejandro","Romero Gamarra","Alejandro Romero Gamarra",2018,"NYRB",30,2537,"CAM",29.6665352778873,0.171021533116183,0.253826530612245,0.0676020408163265,0.0701530612244898,0.774293914962799,1.13123026318941,0.684470651253393,0.699594765008601,709.0908
"Danny","Hoesen","Danny Hoesen",2020,"SJE",2,115,"Wing",13.3565217391304,0.0767616191904048,0.4375,0.1875,0,0.773002523824855,0.851136460823962,0.908200458333711,1,NA
"Tommy","Thompson","Tommy Thompson",2020,"SJE",2,161,"FB/WB",32.1987577639752,0.185050331976869,0.203703703703704,0,0,0.769010418522097,0.769010418522097,1,1,NA
"Franco","Escobar","Franco Escobar",2018,"ATL",22,1903,"FB/WB",32.9416710457173,0.221829434651295,0.180704441041348,0.0214395099540582,0.0229709035222052,0.768354802313186,0.859543650856424,0.893910159824484,0.963371072637721,250.008
"Magnus","Eriksson","Magnus Eriksson",2020,"SJE",2,194,"CM",39.5876288659794,0.227515108425169,0.2125,0.05,0.025,0.767789202616962,0.783655543208966,0.979753425175768,1,NA
"Keegan","Rosenberry","Keegan Rosenberry",2020,"COL",2,192,"FB/WB",39.5,0.227011494252874,0.240506329113924,0.0379746835443038,0.0379746835443038,0.767259429634291,0.787341087356967,0.974494335371106,0.972581546632836,NA
"Rafael","Ramos","Rafael Ramos",2018,"CHI",3,118,"FB/WB",26.8474576271186,0.25981410606889,0.303030303030303,0,0.0303030303030303,0.767121171309429,1.41759029481699,0.541144485902723,0.283661034097246,105.84
"Erickson","Gallardo","Erickson Gallardo",2020,"TOR",1,62,"Wing",15.4838709677419,0.162988115449915,0.6,0.1,0,0.766460843218862,0.835724547175198,0.917121371879705,0.917121371879704,NA
"Tyler","Adams","Tyler Adams",2018,"NYRB",27,2494,"CDM",31.4867682437851,0.176524655851785,0.171149144254279,0.0158924205378973,0.0183374083129584,0.765157252469344,0.973543045385459,0.785951125732085,0.841792438206851,146.04167
"Aaron","Herrera","Aaron Herrera",2020,"RSL",2,189,"FB/WB",29.4603174603175,0.219853115375503,0.189655172413793,0.0517241379310345,0.0344827586206897,0.76291701571054,1.10329757887924,0.691487981407096,0.315407238509768,NA
"Julian","Dunn-Johnson","Julian Dunn-Johnson",2018,"TOR",2,111,"CB",20.7567567567568,0.181281718399622,0.25,0,0,0.760296277667686,0.760296277667686,1,NA,54.50004
"Jorge","Corrales","Jorge Corrales",2020,"MTL",2,196,"FB/WB",31.8367346938776,0.201498320847326,0.107692307692308,0,0,0.75692503091518,0.75692503091518,1,1,NA
"Luis","Binks","Luis Binks",2020,"MTL",2,196,"CB",25.9591836734694,0.164298630844743,0.113207547169811,0.0188679245283019,0,0.75653586460849,0.767552699009174,0.985646803906878,0.981618278218022,NA
"Eric","Remedi","Eric Remedi",2018,"ATL",13,1169,"CM",31.945252352438,0.214508409391371,0.197943444730077,0.0179948586118252,0.025706940874036,0.755285464873463,0.914439216586317,0.82595480505857,0.90104262666926,300
"Federico","Higuain","Federico Higuain",2018,"CLB",30,2488,"CAM",33.6077170418006,0.245790227024383,0.267508610792193,0.060849598163031,0.101033295063146,0.747946806428135,1.10439510881338,0.677245670919142,0.712244516981448,1100.00004
"DaMarcus","Beasley","DaMarcus Beasley",2018,"HOU",26,2387,"FB/WB",32.7775450356095,0.232718779608369,0.197546012269939,0.0134969325153374,0.0184049079754601,0.746333868845711,0.806531908817682,0.925361861925318,0.962885518972058,275.004
"Darwin","Ceren","Darwin Ceren",2018,"HOU",24,2026,"CDM",29.9940769990128,0.238758821882689,0.213270142180095,0.0126382306477093,0.028436018957346,0.745669958139079,0.794691026958617,0.938314304356565,0.935935345295646,274.375
"Wil","Trapp","Wil Trapp",2018,"CLB",30,2796,"CDM",39.3476394849785,0.266763657525278,0.178010471204188,0.00698080279232112,0.0183246073298429,0.745578223469701,0.783631505237729,0.951439826610233,0.941719718287844,550.004
"Alejandro","Bedoya","Alejandro Bedoya",2018,"PHI",33,2949,"CDM",31.8372329603255,0.212076844507619,0.230061349693252,0.0398773006134969,0.0347648261758691,0.745025423765575,0.940315024199477,0.792314707935078,0.792836309086656,1266.25
"Sebastian","Blanco","Sebastian Blanco",2018,"POR",31,2736,"CAM",29.2631578947368,0.20276215796532,0.299760191846523,0.0935251798561151,0.0719424460431655,0.744794293165839,1.18905783012556,0.626373481840821,0.670435196206282,1375.008
"Romell","Quioto","Romell Quioto",2020,"MTL",2,184,"CAM",24,0.151898734177215,0.173913043478261,0.0434782608695652,0.0434782608695652,0.744608999623152,0.914664472652067,0.81407884736592,0.925307423870847,NA
"Jonathan","dos Santos","Jonathan dos Santos",2020,"LAG",1,46,"CDM",27.1304347826087,0.334943639291465,0.230769230769231,0,0,0.744012335529148,0.744012335529148,1,1,NA
"Gianluca","Busio","Gianluca Busio",2020,"SKC",2,23,"CM",50.0869565217391,0.610816542948038,0.333333333333333,0.0833333333333333,0,0.742851161392823,2.56190606957179,0.289960342502717,NA,NA
"Ryan","Hollingshead","Ryan Hollingshead",2020,"FCD",2,197,"FB/WB",34.5989847715736,0.205946337926033,0.183098591549296,0.028169014084507,0.028169014084507,0.74158675156535,0.868621780931804,0.853751043140803,0.838607643051687,NA
