Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
185,Cristian Espinoza/Cristian-Espinoza,ar ARG,FWMF,San Jose,23,1995,28,0.07,0,0,3.36,1.36,0.11,40.4,0.12,0.05,0.02,0.05,0.15,0.15,0.04,-0.08,-0.08,Matches
186,Roger Espinoza/Roger-Espinoza,hn HON,MF,Sporting KC,32,1986,12.7,0,0,0,1.18,0.47,0,40,0.09,0.04,0,0,0.08,0.08,0.07,-0.08,-0.08,Matches
187,Derrick Etienne/Derrick-Etienne,ht HAI,FW,FC Cincinnati,22,1996,2.4,0,0,0,1.25,1.25,0,100,0.51,0.51,0,0,0.08,0.08,0.06,-0.08,-0.08,Matches
188,Derrick Etienne/Derrick-Etienne,ht HAI,FWMF,NY Red Bulls,22,1996,5.2,0.19,0,0,1.92,0.58,0,30,0.37,0.11,0.1,0.33,0.15,0.15,0.08,0.04,0.04,Matches
189,Marco Fabián/Marco-Fabian,mx MEX,MFFW,Philadelphia,29,1989,13.8,0.51,0.14,0.29,4.42,1.09,0.36,24.6,0.32,0.08,0.08,0.33,0.5,0.28,0.07,0.01,0.08,Matches
190,Fabinho/Fabinho,br BRA,DF,Philadelphia,33,1985,1,0,0,0,2,0,0,0,2,0,0,,0,0,0.01,0,0,Matches
191,Diego Fagúndez/Diego-Fagundez,uy URU,MFFW,New England,23,1995,13.1,0.15,0,0.08,1.53,0.53,0.08,35,0.12,0.04,0.1,0.29,0.18,0.13,0.08,-0.03,0.02,Matches
192,Rod Fanni/Rod-Fanni,fr FRA,DF,Montreal,37,1981,3,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
193,Marco Farfan/Marco-Farfan,us USA,DF,Portland,20,1998,2.1,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
194,Andrew Farrell/Andrew-Farrell,us USA,DF,New England,26,1992,28.9,0,0,0,0.03,0,0,0,0,0,0,,0,0,0.05,0,0,Matches
195,Benny Feilhaber/Benny-Feilhaber,us USA,MF,Sporting KC,34,1985,12.2,0.16,0,0,1.48,0.33,0.16,22.2,0.12,0.03,0.11,0.5,0.14,0.14,0.09,0.02,0.02,Matches
196,Benny Feilhaber/Benny-Feilhaber,us USA,MF,Colorado,34,1985,6.9,0.29,0,0,1.3,0.29,0.14,22.2,0.19,0.04,0.22,1,0.16,0.16,0.13,0.13,0.13,Matches
197,Felipe/Felipe,br BRA,MF,Vancouver,28,1990,12.7,0.08,0,0,0.79,0.24,0,30,0.06,0.02,0.1,0.33,0.1,0.1,0.13,-0.02,-0.02,Matches
198,Felipe/Felipe,br BRA,MF,D.C. United,28,1990,8.6,0,0,0,0.35,0.12,0,33.3,0.04,0.01,0,0,0.02,0.02,0.06,-0.02,-0.02,Matches
199,Luis Felipe/Luis-Felipe,br BRA,MF,San Jose,23,1996,0.5,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
200,Rolf Feltscher/Rolf-Feltscher,ve VEN,DF,LA Galaxy,28,1990,24.2,0.04,0,0,0.62,0.12,0,20,0.03,0,0.07,0.33,0.07,0.07,0.12,-0.03,-0.03,Matches
201,Gerso Fernandes/Gerso-Fernandes,gw GNB,FWMF,Sporting KC,27,1991,19.4,0.1,0,0,2.11,0.72,0,34.1,0.11,0.04,0.05,0.14,0.29,0.29,0.14,-0.19,-0.19,Matches
202,Brian Fernández/Brian-Fernandez,ar ARG,FW,Portland,24,1994,15.7,0.7,0,0,4.14,1.91,0,46.2,0.26,0.12,0.17,0.37,0.54,0.54,0.13,0.17,0.17,Matches
203,Omir Fernandez/Omir-Fernandez,us USA,FWMF,NY Red Bulls,19,1999,6.4,0.31,0,0,2.19,1.09,0,50,0.34,0.17,0.14,0.29,0.36,0.36,0.16,-0.05,-0.05,Matches
204,Juan Fernando Caicedo/Juan-Fernando-Caicedo,co COL,FW,New England,29,1989,11.9,0.42,0,0,2.02,0.76,0,37.5,0.17,0.06,0.21,0.56,0.41,0.41,0.2,0.01,0.01,Matches
205,Jesus Ferreira/Jesus-Ferreira,us USA,FWMF,FC Dallas,18,2000,27.1,0.3,0,0,2.18,0.85,0,39,0.08,0.03,0.14,0.35,0.34,0.34,0.16,-0.04,-0.04,Matches
206,Marcelo dos Santos Ferreira/Marcelo-dos-Santos-Ferreira,br BRA,DF,Chicago,29,1989,12.8,0,0,0,0.39,0.08,0,20,0.03,0.01,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
207,Carlos Fierro/Carlos-Fierro,mx MEX,FWMF,San Jose,24,1994,2.5,0,0,0,2.8,0.4,0,14.3,1.1,0.16,0,0,0.44,0.44,0.15,-0.44,-0.44,Matches
208,Maynor Figueroa/Maynor-Figueroa,hn HON,DF,Houston,35,1983,25,0,0,0,1.16,0.24,0.12,20.7,0.05,0.01,0,0,0.03,0.03,0.03,-0.03,-0.03,Matches
209,Ethan Finlay/Ethan-Finlay,us USA,FWMF,Minnesota,28,1990,21.2,0.33,0.09,0.09,1.6,0.38,0,23.5,0.08,0.02,0.15,0.63,0.35,0.27,0.17,-0.02,-0.04,Matches
210,Andrés Flores/Andres-Flores,sv SLV,MF,Portland,28,1990,8.6,0,0,0,1.05,0.12,0,11.1,0.12,0.01,0,0,0.06,0.06,0.06,-0.06,-0.06,Matches
211,Anthony Fontana/Anthony-Fontana,us USA,MFFW,Philadelphia,19,1999,1.4,0.71,0,0,2.14,0.71,0,33.3,1.52,0.51,0.33,1,0.36,0.36,0.18,0.36,0.36,Matches
212,Andreu Fontàs/Andreu-Fontas,es ESP,DF,Sporting KC,29,1989,10.7,0,0,0,0.37,0.19,0,50,0.03,0.02,0,0,0.04,0.04,0.1,-0.04,-0.04,Matches
213,Waylon Francis/Waylon-Francis,cr CRC,DF,Columbus,28,1990,15.4,0,0,0,0.19,0,0,0,0.01,0,0,,0.01,0.01,0.03,-0.01,-0.01,Matches
214,Przemysław Frankowski/Przemyslaw-Frankowski,pl POL,FWMF,Chicago,23,1995,25.6,0.2,0,0,2.19,0.9,0,41.1,0.09,0.04,0.09,0.22,0.26,0.26,0.12,-0.06,-0.06,Matches
215,Liam Fraser/Liam-Fraser,ca CAN,MFDF,Toronto FC,20,1998,9,0,0,0,0.78,0.11,0,14.3,0.09,0.01,0,0,0.06,0.06,0.08,-0.06,-0.06,Matches
216,Matt Freese/Matt-Freese,us USA,GK,Philadelphia,20,1998,4.9,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
217,Stefan Frei/Stefan-Frei,ch SUI,GK,Seattle,32,1986,34,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
218,Alejandro Fuenmayor/Alejandro-Fuenmayor,ve VEN,DF,Houston,22,1996,7.8,0,0,0,0.38,0,0,0,0.05,0,0,,0.09,0.09,0.26,-0.09,-0.09,Matches
219,Gilbert Fuentes/Gilbert-Fuentes,us USA,FW,San Jose,16,2002,0,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
220,Ray Gaddis/Ray-Gaddis,us USA,DF,Philadelphia,29,1990,32.9,0,0,0,0.09,0,0,0,0,0,0,,0.02,0.02,0.15,-0.02,-0.02,Matches
221,Nicolás Gaitán/Nicolas-Gaitan,ar ARG,MF,Chicago,30,1988,22.3,0.18,0.04,0.13,1.26,0.49,0.04,39.3,0.06,0.02,0.11,0.27,0.25,0.14,0.11,-0.07,-0.01,Matches
