"First","Last","Player","Season","Team","Games","Minutes","Pos","NumChains/96","TeamChain%","ChainShot%","PlayerShot%","PlayerKP%","xB/96","xGChain/96","xB%","xB% (0)","Comp ($K)"
"Harold","Cummings","Harold Cummings",2019,"SJE",16,1493,"CB",32.3429336905559,0.213308713540352,0.159045725646123,0.00198807157057654,0.00596421471172962,0.457471948909004,0.503814116344976,0.908017330335698,1,320.667
"Victor","Ulloa","Victor Ulloa",2019,"CIN",26,2094,"CDM",28.7908309455587,0.193077535358403,0.164012738853503,0.0143312101910828,0.036624203821656,0.457189710948778,0.523371979836746,0.873546404015338,0.851770768484213,212.5
"Ali","Adnan","Ali Adnan",2019,"VAN",28,2597,"FB/WB",31.0512129380054,0.219720485788262,0.183333333333333,0.0452380952380952,0.030952380952381,0.45546039915729,0.549322377147913,0.829131340911406,0.912455327458313,547.333
"Robin","Jansson","Robin Jansson",2019,"ORL",28,2613,"CB",22.264064293915,0.154611557596632,0.155115511551155,0.0165016501650165,0.00165016501650165,0.452747360880867,0.482555789469591,0.938228015829033,0.916188366189056,289.8
"Kacper","Przybylko","Kacper Przybylko",2019,"PHI",26,2417,"F",23.1559784857261,0.148618968311251,0.281303602058319,0.135506003430532,0.039451114922813,0.452193311394146,0.895628651338617,0.504889287226678,0.510527813674823,277
"Mauro","Manotas","Mauro Manotas",2019,"HOU",32,2707,"F",18.9021056520133,0.129272789242237,0.345215759849906,0.170731707317073,0.0694183864915572,0.451629683157057,0.970441974975524,0.465385561221677,0.504172663308863,1245.05
"Bryan","Reynolds","Bryan Reynolds",2019,"FCD",9,158,"Wing",23.0886075949367,0.278175995119719,0.289473684210526,0.0263157894736842,0.0526315789473684,0.451487293106316,0.553403342306532,0.815837669545978,0,70.25
"Jeremiah","Gutjahr","Jeremiah Gutjahr",2019,"CHI",8,542,"FB/WB",28.1623616236162,0.19676759213007,0.182389937106918,0.00628930817610063,0.0251572327044025,0.450098363078687,0.508033139871682,0.885962603133276,0.808992203860661,56.25
"Zakaria","Diallo","Zakaria Diallo",2019,"MTL",24,2189,"CB",34.4266788487894,0.23228571615714,0.114649681528662,0.0140127388535032,0.00636942675159236,0.449178205573156,0.501322284321383,0.895986912253837,0.902132972079718,343.25
"Miguel","Ibarra","Miguel Ibarra",2019,"MIN",22,1621,"Wing",22.6230721776681,0.161226947816229,0.232984293193717,0.0602094240837696,0.0445026178010471,0.448722543596554,0.651125400759609,0.689149191650441,0.723078210086143,342.318
